HOUR,avg_ratio,pct_hours_saturated,n_observations
14,1.596143508888713,27.857142857142858,420
13,1.5252848814535023,25.952380952380956,420
12,1.520647858012568,24.523809523809522,420
21,1.3957978652599836,16.19047619047619,420
19,1.3663467618764769,12.380952380952381,420
20,1.3616508459761896,12.142857142857142,420
17,0.8381978070854128,0.9523809523809524,420
16,0.8236520295512004,0.7142857142857143,420
22,0.9932925483955467,0.4761904761904762,420
18,0.8458507102080189,0.4761904761904762,420
15,0.8226820784962571,0.4761904761904762,420
11,1.0698342243636914,0.0,420
10,1.0392325927619541,0.0,420
8,0.6127861475633479,0.0,420
9,0.6001710292672257,0.0,420
4,0.47003968253968254,0.0,420
6,0.46349206349206346,0.0,420
5,0.4626984126984127,0.0,420
1,0.46150793650793653,0.0,420
2,0.46150793650793653,0.0,420
3,0.44107142857142856,0.0,420
23,0.18000755857898718,0.0,420
0,0.17005102040816325,0.0,420
7,0.10822504215361359,0.0,420
